Código,Descrição,Departamento,Categoria/Setor,Marca,Famlíia,Código do Fabricante,Código de Barras,SKU Monitorado,Website Monitorado,URL Produto Monitorado,Data,Média Preço Normal,Média Preço Oferta,Leituras,Leituras com disponibilidade,URL Monitor,Desvio Média Preço %,Marca Target
1038723,Café Torrado e Moído Extraforte Pilão Pacote 500g,Alimentos,Básico da despensa,pa,,,7896089013399,1038723,www.paodeacucar.com,https://www.paodeacucar.com/produto/292186/cafe-torrado-e-moido-extraforte-pilao-pacote-500g,2026-03-08,27.49,27.49,22,22,https://monitor.precifica.com.br/index.php/Produtos?act=edit&id=15847066,28.4,False
1038723,Café Torrado e Moído Extraforte Pilão Pacote 500g,Alimentos,Básico da despensa,pa,,,7896089013399,1038723,www.paodeacucar.com,https://www.paodeacucar.com/produto/292186/cafe-torrado-e-moido-extraforte-pilao-pacote-500g,2026-03-07,27.49,27.49,24,24,https://monitor.precifica.com.br/index.php/Produtos?act=edit&id=15847066,28.4,False
1038723,Café Torrado e Moído Extraforte Pilão Pacote 500g,Alimentos,Básico da despensa,pa,,,7896089013399,1038723,www.paodeacucar.com,https://www.paodeacucar.com/produto/292186/cafe-torrado-e-moido-extraforte-pilao-pacote-500g,2026-03-06,27.49,27.49,24,17,https://monitor.precifica.com.br/index.php/Produtos?act=edit&id=15847066,28.4,False
183567,Café Torrado e Moído Extraforte 3 Corações Pacote 500g,Alimentos,Básico da despensa,pa,,,7896005801529,183567,www.paodeacucar.com,https://www.paodeacucar.com/produto/57156/cafe-torrado-e-moido-extraforte-3-coracoes-pacote-500g,2026-03-08,27.99,27.99,22,22,https://monitor.precifica.com.br/index.php/Produtos?act=edit&id=15847427,,False
183567,Café Torrado e Moído Extraforte 3 Corações Pacote 500g,Alimentos,Básico da despensa,pa,,,7896005801529,183567,www.paodeacucar.com,https://www.paodeacucar.com/produto/57156/cafe-torrado-e-moido-extraforte-3-coracoes-pacote-500g,2026-03-07,27.99,27.99,24,23,https://monitor.precifica.com.br/index.php/Produtos?act=edit&id=15847427,,False
183567,Café Torrado e Moído Extraforte 3 Corações Pacote 500g,Alimentos,Básico da despensa,pa,,,7896005801529,183567,www.paodeacucar.com,https://www.paodeacucar.com/produto/57156/cafe-torrado-e-moido-extraforte-3-coracoes-pacote-500g,2026-03-06,27.99,27.99,24,23,https://monitor.precifica.com.br/index.php/Produtos?act=edit&id=15847427,,False
590655,Café Torrado e Moído Tradicional 3 Corações Pacote 500g,Alimentos,Básico da despensa,pa,,,7896005800010,590655,www.paodeacucar.com,https://www.paodeacucar.com/produto/82810/cafe-torrado-e-moido-tradicional-3-coracoes-pacote-500g,2026-03-08,27.99,27.99,22,22,https://monitor.precifica.com.br/index.php/Produtos?act=edit&id=15847426,,False
590655,Café Torrado e Moído Tradicional 3 Corações Pacote 500g,Alimentos,Básico da despensa,pa,,,7896005800010,590655,www.paodeacucar.com,https://www.paodeacucar.com/produto/82810/cafe-torrado-e-moido-tradicional-3-coracoes-pacote-500g,2026-03-07,27.99,27.99,24,24,https://monitor.precifica.com.br/index.php/Produtos?act=edit&id=15847426,,False
590655,Café Torrado e Moído Tradicional 3 Corações Pacote 500g,Alimentos,Básico da despensa,pa,,,7896005800010,590655,www.paodeacucar.com,https://www.paodeacucar.com/produto/82810/cafe-torrado-e-moido-tradicional-3-coracoes-pacote-500g,2026-03-06,29.9,29.9,24,22,https://monitor.precifica.com.br/index.php/Produtos?act=edit&id=15847426,,False
463478,Café Torrado e Moído a Vácuo Tradicional 3 Corações Pacote 500g,Alimentos,Básico da despensa,pa,,,7896005800188,463478,www.paodeacucar.com,https://www.paodeacucar.com/produto/101961,2026-03-08,27.99,27.99,22,12,https://monitor.precifica.com.br/index.php/Produtos?act=edit&id=15847436,,False
